"peak","position","identifier","name","type","n_raw_ht","n_cor_ht","n_um","p_raw_ht","p_cor_ht","p_um","run_name","run_date","operator"
39,"SR:16","CC2","PO4 6.0 uM","Check Cal",0.032,0.032,12.909,0.007,0.007,6.263,"sample_run_2019-03-06","3/6/2019","apimenta_103"
40,"1:15","15","20181002 Y1","Unknown",0.058,0.058,24.431,0.001,0.001,0.809,"sample_run_2019-03-06","3/6/2019","apimenta_103"
41,"1:16","16","20181002 Y2","Unknown",0.057,0.057,23.832,0.002,0.001,1.205,"sample_run_2019-03-06","3/6/2019","apimenta_103"
42,"1:17","17","20181002 Y3","Unknown",0.064,0.064,27.347,0.001,0.001,0.906,"sample_run_2019-03-06","3/6/2019","apimenta_103"
43,"1:18","18","20181004 W1","Unknown",0.087,0.087,37.575,0.002,0.001,1.199,"sample_run_2019-03-06","3/6/2019","apimenta_103"
44,"1:19","19","20181004 W2","Unknown",0.087,0.087,37.258,0.001,0.001,1.069,"sample_run_2019-03-06","3/6/2019","apimenta_103"
45,"0","AutoWash",NA,"AutoWash",0.003,0.003,0.065,0,0,0.093,"sample_run_2019-03-06","3/6/2019","apimenta_103"
46,"0","AutoWash",NA,"AutoWash",0,0,-1.304,0,0,0.119,"sample_run_2019-03-06","3/6/2019","apimenta_103"
47,"1:20","20","20181004 W3","Unknown",0.086,0.086,36.934,0.001,0.001,1.092,"sample_run_2019-03-06","3/6/2019","apimenta_103"
48,"1:20","20dup","20181004 W3","Unknown",0.088,0.088,37.828,0.002,0.001,1.113,"sample_run_2019-03-06","3/6/2019","apimenta_103"
49,"1:21","21","20181004 M1","Unknown",0.144,0.144,62.81,0.002,0.001,1.463,"sample_run_2019-03-06","3/6/2019","apimenta_103"
50,"1:22","22","20181004 M2","Unknown",0.14,0.141,61.22,0.002,0.002,1.942,"sample_run_2019-03-06","3/6/2019","apimenta_103"
51,"SR:16","CC2","PO4 6.0 uM","QC 2",0.026,0.026,10.334,0.007,0.006,5.987,"sample_run_2019-03-06","3/6/2019","apimenta_103"
52,"1:23","23","20181004 M3","Unknown",0.142,0.142,61.774,0.002,0.002,1.534,"sample_run_2019-03-06","3/6/2019","apimenta_103"
53,"1:24","24","20181009 W1","Unknown",0.091,0.091,39.317,0.002,0.001,1.127,"sample_run_2019-03-06","3/6/2019","apimenta_103"
54,"1:25","25","digested milliQ","Unknown",0.012,0.013,4.384,0.001,0.001,0.817,"sample_run_2019-03-06","3/6/2019","apimenta_103"
55,"1:26","26","20181009 W2","Unknown",0.086,0.087,37.236,0.002,0.001,1.258,"sample_run_2019-03-06","3/6/2019","apimenta_103"
56,"1:27","27","20181009 W3","Unknown",0.087,0.088,37.814,0.002,0.001,1.178,"sample_run_2019-03-06","3/6/2019","apimenta_103"
57,"0","AutoWash",NA,"AutoWash",0.003,0.003,0.073,0,0,0.012,"sample_run_2019-03-06","3/6/2019","apimenta_103"
58,"0","AutoWash",NA,"AutoWash",-0.001,0,-1.304,0,0,0.119,"sample_run_2019-03-06","3/6/2019","apimenta_103"
59,"SR:15","CC1","NO3 100 uM","Check Cal",0.196,0.197,86.184,0.001,0,0.557,"sample_run_2019-03-06","3/6/2019","apimenta_103"
60,"SR:16","CC2","PO4 6.0 uM","Check Cal",0.028,0.028,11.301,0.007,0.006,5.975,"sample_run_2019-03-06","3/6/2019","apimenta_103"
61,"1:28","28","20181009 M1","Unknown",0.128,0.128,55.747,0.002,0.001,1.511,"sample_run_2019-03-06","3/6/2019","apimenta_103"
62,"1:29","29","20181009 M2","Unknown",0.143,0.143,62.389,0.002,0.002,1.89,"sample_run_2019-03-06","3/6/2019","apimenta_103"
63,"1:30","30","20181009 M3","Unknown",0.129,0.13,56.364,0.002,0.001,1.282,"sample_run_2019-03-06","3/6/2019","apimenta_103"
64,"1:30","30dup","20181009 M3","Unknown",0.128,0.129,55.924,0.002,0.001,1.307,"sample_run_2019-03-06","3/6/2019","apimenta_103"
65,"1:31","31","20181011 Y1","Unknown",0.056,0.057,23.964,0.001,0.001,0.839,"sample_run_2019-03-06","3/6/2019","apimenta_103"
66,"1:32","32","20181011 Y2","Unknown",0.055,0.056,23.517,0.001,0.001,0.874,"sample_run_2019-03-06","3/6/2019","apimenta_103"
67,"1:33","33","20181011 Y3","Unknown",0.053,0.054,22.882,0.003,0.002,1.954,"sample_run_2019-03-06","3/6/2019","apimenta_103"
68,"1:34","34","20181016 W1","Unknown",0.099,0.1,43.017,0.003,0.002,2.031,"sample_run_2019-03-06","3/6/2019","apimenta_103"
69,"1:35","35","20181016 W2","Unknown",0.101,0.102,43.897,0.002,0.002,1.733,"sample_run_2019-03-06","3/6/2019","apimenta_103"
70,"1:36","36","20181016 W3","Unknown",0.099,0.1,43.321,0.002,0.001,1.379,"sample_run_2019-03-06","3/6/2019","apimenta_103"
71,"0","AutoWash",NA,"AutoWash",0.002,0.004,0.294,0.001,0,0.23,"sample_run_2019-03-06","3/6/2019","apimenta_103"
72,"0","AutoWash",NA,"AutoWash",-0.001,0,-1.304,0.001,0,0.119,"sample_run_2019-03-06","3/6/2019","apimenta_103"
73,"1:37","37","digested milliQ","Unknown",0.004,0.006,1.214,0.001,0,0.461,"sample_run_2019-03-06","3/6/2019","apimenta_103"
74,"1:38","38","20181016 M1","Unknown",0.106,0.107,46.121,0.002,0.001,1.148,"sample_run_2019-03-06","3/6/2019","apimenta_103"
75,"1:39","39","20181016 M2","Unknown",0.112,0.113,48.762,0.002,0.001,1.411,"sample_run_2019-03-06","3/6/2019","apimenta_103"
76,"1:40","40","20181016 M3","Unknown",0.116,0.117,50.568,0.002,0.001,1.385,"sample_run_2019-03-06","3/6/2019","apimenta_103"
77,"1:40","40dup","20181016 M3","Unknown",0.115,0.116,50.227,0.002,0.001,1.446,"sample_run_2019-03-06","3/6/2019","apimenta_103"
78,"SR:15","CC1","NO3 100 uM","Check Cal",0.175,0.176,77.012,0.001,0,0.177,"sample_run_2019-03-06","3/6/2019","apimenta_103"
79,"SR:16","CC2","PO4 6.0 uM","Check Cal",0.023,0.024,9.335,0.007,0.006,5.758,"sample_run_2019-03-06","3/6/2019","apimenta_103"
80,"1:41","41","digested milliQ","Unknown",0.005,0.006,1.188,0.001,0,0.424,"sample_run_2019-03-06","3/6/2019","apimenta_103"
81,"SR:5","PAUSE",NA,"Pause",0.004,0.005,0.809,0.001,0,0.341,"sample_run_2019-03-06","3/6/2019","apimenta_103"
82,"SR:1","SYNC",NA,"SYNC",0.415,0.416,183.481,0.205,0.204,189.476,"sample_run_2019-03-06","3/6/2019","apimenta_103"
83,"0","AutoWash",NA,"AutoWash",0.014,0.015,5.359,0.002,0.001,1.115,"sample_run_2019-03-06","3/6/2019","apimenta_103"
84,"0","AutoWash",NA,"AutoWash",-0.001,0,-1.304,0.001,0,0.119,"sample_run_2019-03-06","3/6/2019","apimenta_103"
85,"SR:15","CC1","NO3 100 uM","Check Cal",0.166,0.167,72.797,0.001,0,0.179,"sample_run_2019-03-06","3/6/2019","apimenta_103"
86,"SR:16","CC2","PO4 6.0 uM","Check Cal",0.021,0.023,8.738,0.007,0.006,6.12,"sample_run_2019-03-06","3/6/2019","apimenta_103"
87,"1:42","42","digested milliQ","Unknown",0.004,0.006,1.155,0.001,0,0.439,"sample_run_2019-03-06","3/6/2019","apimenta_103"
88,"1:43","43","digested milliQ","Unknown",0.003,0.005,0.981,0.001,0,0.298,"sample_run_2019-03-06","3/6/2019","apimenta_103"
89,"0","AutoWash",NA,"AutoWash",-0.002,0,-1.276,0.001,0,0.091,"sample_run_2019-03-06","3/6/2019","apimenta_103"
90,"0","AutoWash",NA,"AutoWash",-0.002,0,-1.304,0.001,0,0.119,"sample_run_2019-03-06","3/6/2019","apimenta_103"
91,"SR:15","CC1","NO3 100 uM","Check Cal",0.155,0.157,68.552,0.001,0,0.357,"sample_run_2019-03-06","3/6/2019","apimenta_103"
92,"SR:16","CC2","PO4 6.0 uM","Check Cal",0.019,0.022,8.286,0.007,0.006,5.984,"sample_run_2019-03-06","3/6/2019","apimenta_103"
1,"SR:1","SYNC",NA,"SYNC",0.604,0.596,254.833,0.222,0.221,195.245,"sample_run_2019-03-07","3/7/2019","apimenta_104 LC"
